96,'\r\n\tElectrical Engineering Students Association (EESA) organized a national level technical symposium "SCINTILLA - 2017" on January 20-21  2017. - Institute of Technology - Nirma University\r\n'
97,'\r\n\texemplary performance by EC students in CAT 2017 - Institute of Technology - Nirma University\r\n'
98,'\r\n\tExpert Talk by Dr. Rohit Vora Polymers & Nanomaterials Technology Research Scientist  Advanced Polymers Research & Technologies  NJ  USA. - Institute of Technology - Nirma University\r\n'
99,'\r\n\tInteraction with Structural Analysis- I book author Dr. Hemant S Patil on 23rd January 2017 - Institute of Technology - Nirma University\r\n'
100,'\r\n\tChess Champions of Civil Engineering Department at National Level Fest @ LNMIIT College  Jaipur - Institute of Technology - Nirma University\r\n'
101,"\r\n\t'Paytm Preach' campaign - Institute of Technology - Nirma University\r\n"
102,"\r\n\tNirma Chess Team won the National Level Sports Fest (Justice League'17) - Institute of Technology - Nirma University\r\n"
103,'\r\n\tNews Detail\r\n'
104,'\r\n\t August 2017 News Archived Institute of Law - Nirma University\r\n'
105,'\r\n\tNews Detail\r\n'
106,'\r\n\tUnder Graduate Programmes\r\n'
107,'\r\n\tNews Detail\r\n'
108,'\r\n\t September 2017 News Archived Institute of Law - Nirma University\r\n'
109,'\r\n\t July 2017 News Archived Institute of Law - Nirma University\r\n'
110,'\r\n\t June 2017 News Archived Institute of Law - Nirma University\r\n'
111,'\r\n\t 2009 Media Room archive  Media Gallery archive - 2009  Institute of Law - Nirma University\r\n'
112,'\r\n\t 2013 Media Room archive  Media Gallery archive - 2013  Institute of Law - Nirma University\r\n'
113,'\r\n\tNews Detail\r\n'
114,'\r\n\t 2014 Media Room archive  Media Gallery archive - 2014  Institute of Law - Nirma University\r\n'
115,'\r\n\t April 2017 Media Room archive  Media Gallery archive - 2017  Institute of Law - Nirma University\r\n'
116,'\r\n\t May 2017 Media Room archive  Media Gallery archive - 2017  Institute of Law - Nirma University\r\n'
117,'\r\n\t 2015 Media Room archive  Media Gallery archive - 2015  Institute of Law - Nirma University\r\n'
118,'\r\n\t 2016 Media Room archive  Media Gallery archive - 2016  Institute of Law - Nirma University\r\n'
119,'\r\n\t 2017 Media Room archive  Media Gallery archive - 2017  Institute of Law - Nirma University\r\n'
120,'\r\n\t March 2017 News Archived Institute of Law - Nirma University\r\n'
121,'\r\n\t April 2017 News Archived Institute of Law - Nirma University\r\n'
122,'\r\n\r\n'
123,'\r\n\tWorkshop under CCE on "Big Data Analytics with Hadoop and Spark Programming using Python Programming" - Institute of Technology - Nirma University\r\n'
124,'\r\n\tNIRF  Institute of Law  Nirma University\r\n'
125,'\r\n\tFaculty of Electrical Engineering Department selected as an editorial board of an International Journal. - Institute of Technology - Nirma University\r\n'
126,'\r\n\tProf. Neha Patni and Dr. Shibu G. Pillai won the First Prize for the poster presentation - Institute of Technology - Nirma University\r\n'
127,'\r\n\tStudents of B.Tech and M.Tech  Electrical Engineering  Semester â\x80\x93 VI visited â\x80\x9cVibrant Gujarat Summit - 2017â\x80\x9d - Institute of Technology - Nirma University\r\n'
128,'\r\n\tGlimpses of NITAA Meet 2017 - Institute of Technology - Nirma University\r\n'
129,'\r\n\tStudents of B-tech 4th and 6th semester has visited Vibrant Gujarat 2017. - Institute of Technology - Nirma University\r\n'
130,'\r\n\tDr. P.B.Ravikumar  Professor Emeritus  University of Wisconsin-Platteville USA visited Institute of Technology  NU - Institute of Technology - Nirma University\r\n'
131,'\r\n\tExpert Talk and Faculty-Interaction session with Shri Bipinbhi Vora  Consultant/Advisor to R&D  UOP LLC  A Honeywell Company  USA - Institute of Technology - Nirma University\r\n'
132,"\r\n\tNU-TECH'17 - Institute of Technology - Nirma University\r\n"
133,'\r\n\tTeam Nirma Robocon won "Best Innovative Design Award" at National Robocon 2017 - Institute of Technology - Nirma University\r\n'
134,'\r\n\tOne day workshop for the students of ITI  Saraspur - Institute of Technology - Nirma University\r\n'
135,'\r\n\tâ\x80\x9cROAD SAFETY AND TRAFFIC AWARENESS PROGRAMMEâ\x80\x9d - Institute of Technology - Nirma University\r\n'
